timestamp,device_id,power_kw,energy_kwh,voltage_v,current_a,frequency_hz,irradiance_w_m2,panel_temperature_c,state
2025-06-01T00:00:00,solar-inv-001,0.0,0.0,229.7,0.0,49.998,0.0,10.7,standby
2025-06-01T00:15:00,solar-inv-001,0.0,0.0,227.0,0.0,50.007,0.0,9.8,standby
2025-06-01T00:30:00,solar-inv-001,0.0,0.0,230.2,0.0,50.005,0.0,11.2,standby
2025-06-01T00:45:00,solar-inv-001,0.013,0.003,230.2,0.06,49.985,0.0,9.2,on
2025-06-01T01:00:00,solar-inv-001,0.005,0.004,232.6,0.02,50.001,0.0,10.2,standby
2025-06-01T01:15:00,solar-inv-001,0.011,0.007,227.1,0.05,49.994,0.0,11.0,on
2025-06-01T01:30:00,solar-inv-001,0.017,0.011,229.5,0.07,50.008,0.0,11.0,on
2025-06-01T01:45:00,solar-inv-001,0.016,0.015,227.8,0.07,50.011,0.0,9.5,on
2025-06-01T02:00:00,solar-inv-001,0.0,0.015,228.8,0.0,49.982,0.0,12.2,standby
2025-06-01T02:15:00,solar-inv-001,0.013,0.019,227.6,0.06,50.017,0.0,10.7,on
2025-06-01T02:30:00,solar-inv-001,0.0,0.019,229.4,0.0,50.002,0.0,12.9,standby
2025-06-01T02:45:00,solar-inv-001,0.013,0.022,230.7,0.06,50.013,0.0,13.0,on
2025-06-01T03:00:00,solar-inv-001,0.0,0.022,228.6,0.0,49.991,0.0,13.4,standby
2025-06-01T03:15:00,solar-inv-001,0.0,0.022,234.7,0.0,49.984,0.0,12.3,standby
2025-06-01T03:30:00,solar-inv-001,0.015,0.026,232.8,0.06,50.01,0.0,14.7,on
2025-06-01T03:45:00,solar-inv-001,0.029,0.033,229.8,0.13,49.972,0.0,13.9,on
2025-06-01T04:00:00,solar-inv-001,0.019,0.038,227.1,0.08,50.001,0.0,15.3,on
2025-06-01T04:15:00,solar-inv-001,0.0,0.038,231.4,0.0,50.012,0.0,17.9,standby
2025-06-01T04:30:00,solar-inv-001,0.012,0.041,228.8,0.05,49.989,0.0,15.3,on
2025-06-01T04:45:00,solar-inv-001,0.019,0.045,228.9,0.08,49.999,0.0,17.5,on
2025-06-01T05:00:00,solar-inv-001,0.0,0.045,229.4,0.0,49.963,0.0,16.3,standby
2025-06-01T05:15:00,solar-inv-001,0.0,0.045,230.8,0.0,50.024,0.0,18.0,standby
2025-06-01T05:30:00,solar-inv-001,0.0,0.045,227.5,0.0,49.994,0.0,18.9,standby
2025-06-01T05:45:00,solar-inv-001,0.191,0.093,229.0,0.83,50.002,48.2,20.7,on
2025-06-01T06:00:00,solar-inv-001,0.557,0.233,229.6,2.43,49.994,113.6,23.0,on
2025-06-01T06:15:00,solar-inv-001,0.785,0.429,228.8,3.43,49.998,148.0,26.3,on
2025-06-01T06:30:00,solar-inv-001,0.871,0.647,228.8,3.81,49.982,170.6,25.4,on
2025-06-01T06:45:00,solar-inv-001,1.02,0.902,229.1,4.45,49.999,209.0,28.2,on
